1;10 trăm nghìn được gọi là 10 triệu. Đúng hay sai?;~Đúng;^Sai;!~Cả hai đáp án trên đều đúng;!~Cả hai đáp án trên đều sai
2;Lớp triệu gồm những hàng nào;~Hàng triệu;~Hàng chục triệu;~Hàng trăm triệu;!^Tất cả các đáp án trên đều đúng
3;Số 2 chục triệu được viết là:;~20000;~200000;~2000000;^20000000
4;Số 5 trăm triệu có bao nhiêu chữ số 0 ?;~6 chữ số;~7 chữ số;^8 chữ số;~9 chữ số
5;Số 7162805 được đọc là:;~Bảy mươi mốt triệu sáu mươi hai nghìn tám trăm linh năm;^Bảy triệu một trăm sáu mươi hai nghìn tám trăm linh năm;~Bảy mươi mốt triệu một trăm sáu hai nghìn không trăm tám mươi lăm;~Bảy triệu một trăm sáu mươi hai nghìn tám trăm không năm
6;Chữ số 4 trong số 492357061 thuộc hàng nào?;^Hàng trăm triệu;~Hàng trăm nghìn;~Hàng chục triệu;~Hàng trăm
7;Chữ số 8 trong số 81379452 thuộc lớp nào và có giá trị bằng bao nhiêu?;~Lớp nghìn và có giá trị 80000;~Lớp chục triệu và có giá trị 8000000;^Lớp chục triệu và có giá trị 80000000;~Lớp triệu và có giá trị 80000000
8;Viết số 35027186 thành tổng theo mẫu: 3984003 = 3000000 + 900000 + 80000 + 4000 + 3;~35027186 = 30 000 000 + 50 000 000 + 200 000 + 1000 + 700 + 80 + 6;~35027186 = 3 000 000 + 5 000 000 + 200 000 + 700 + 100 + 80 + 6;^35027186 = 30 000 000 + 5 000 000 + 20 000 + 7000 + 100 + 80 + 6;~35027186 = 30 000 000 + 50 000 000 + 200 000 + 7000 + 100 + 80 + 6
9;Hôm nay là thứ năm ngày 8 thì hôm kia là ngày:;^Thứ bảy ngày 10;~Thứ ba ngày 10;~Thứ ba ngày 6;~Thứ tư ngày 7
10;Đoạn thẳng AB dài 18 cm, đoạn thẳng BC dài 25 cm, vậy đoạn thẳng BC ngắn hơn đoạn thẳng AB:;~Đúng;^Sai;!~Cả hai đáp án trên đều đúng;!~Cả hai đáp án trên đều sai
